case_id,activity,timestamp,resource
1,Order_Placed,03-01-2024 21:00,Customer
1,Order_Validated,03-01-2024 21:09,System
1,Payment_Processed,03-01-2024 21:17,Payment_Gateway
1,Inventory_Checked,03-01-2024 21:39,Warehouse_System
1,Warehouse_A,03-01-2024 21:46,Warehouse_Staff
1,Packed,03-01-2024 22:09,Warehouse_Staff
1,Order_Processed,03-01-2024 23:18,Warehouse_Staff
1,Route_A,03-01-2024 23:39,Transport
1,Out_for_Delivery,04-01-2024 00:55,Delivery_Agent
1,Delivered,04-01-2024 01:20,Delivery_Agent
2,Order_Placed,13-01-2024 17:49,Customer
2,Order_Validated,13-01-2024 17:54,System
2,Payment_Processed,13-01-2024 18:04,Payment_Gateway
2,Inventory_Checked,13-01-2024 18:22,Warehouse_System
2,Warehouse_B,13-01-2024 19:03,Warehouse_Staff
2,Packed,13-01-2024 20:02,Warehouse_Staff
2,Order_Processed,13-01-2024 21:22,Warehouse_Staff
2,Route_B,13-01-2024 21:46,Transport
2,Out_for_Delivery,13-01-2024 21:59,Delivery_Agent
2,Delivered,13-01-2024 22:18,Delivery_Agent
3,Order_Placed,13-01-2024 12:58,Customer
3,Order_Validated,13-01-2024 13:20,System
3,Payment_Processed,13-01-2024 13:34,Payment_Gateway
3,Inventory_Checked,13-01-2024 13:59,Warehouse_System
3,Warehouse_A,13-01-2024 14:23,Warehouse_Staff
3,Packed,13-01-2024 14:39,Warehouse_Staff
3,Order_Processed,13-01-2024 15:50,Warehouse_Staff
3,Route_C,13-01-2024 16:04,Transport
3,Out_for_Delivery,13-01-2024 16:16,Delivery_Agent
3,Delivered,13-01-2024 16:33,Delivery_Agent
4,Order_Placed,07-01-2024 15:58,Customer
4,Order_Validated,07-01-2024 16:14,System
4,Payment_Processed,07-01-2024 16:30,Payment_Gateway
4,Inventory_Checked,07-01-2024 16:41,Warehouse_System
4,Warehouse_B,07-01-2024 16:54,Warehouse_Staff
4,Packed,07-01-2024 18:19,Warehouse_Staff
4,Order_Processed,07-01-2024 18:29,Warehouse_Staff
4,Route_C,07-01-2024 19:45,Transport
4,Out_for_Delivery,07-01-2024 19:58,Delivery_Agent
4,Delivered,07-01-2024 20:23,Delivery_Agent
5,Order_Placed,14-01-2024 00:16,Customer
5,Order_Validated,14-01-2024 00:28,System
5,Payment_Processed,14-01-2024 00:34,Payment_Gateway
5,Inventory_Checked,14-01-2024 00:49,Warehouse_System
5,Warehouse_A,14-01-2024 01:06,Warehouse_Staff
5,Packed,14-01-2024 02:15,Warehouse_Staff
5,Order_Processed,14-01-2024 03:51,Warehouse_Staff
5,Route_A,14-01-2024 04:08,Transport
5,Out_for_Delivery,14-01-2024 04:33,Delivery_Agent
5,Delivered,14-01-2024 04:46,Delivery_Agent
6,Order_Placed,04-01-2024 12:28,Customer
6,Order_Validated,04-01-2024 12:51,System
6,Payment_Processed,04-01-2024 13:09,Payment_Gateway
6,Inventory_Checked,04-01-2024 13:32,Warehouse_System
6,Warehouse_A,04-01-2024 13:49,Warehouse_Staff
6,Packed,04-01-2024 14:05,Warehouse_Staff
6,Order_Processed,04-01-2024 14:14,Warehouse_Staff
6,Route_B,04-01-2024 14:21,Transport
6,Out_for_Delivery,04-01-2024 14:27,Delivery_Agent
6,Delivered,04-01-2024 14:36,Delivery_Agent
7,Order_Placed,04-01-2024 23:29,Customer
7,Order_Validated,04-01-2024 23:46,System
7,Payment_Processed,05-01-2024 00:03,Payment_Gateway
7,Inventory_Checked,05-01-2024 00:27,Warehouse_System
7,Warehouse_C,05-01-2024 02:01,Warehouse_Staff
7,Packed,05-01-2024 02:06,Warehouse_Staff
7,Order_Processed,05-01-2024 02:14,Warehouse_Staff
7,Route_B,05-01-2024 02:36,Transport
7,Out_for_Delivery,05-01-2024 02:49,Delivery_Agent
7,Delivered,05-01-2024 03:04,Delivery_Agent
8,Order_Placed,03-01-2024 21:00,Customer
8,Order_Validated,03-01-2024 21:13,System
8,Payment_Processed,03-01-2024 21:34,Payment_Gateway
8,Inventory_Checked,03-01-2024 21:44,Warehouse_System
8,Warehouse_A,03-01-2024 22:05,Warehouse_Staff
8,Packed,03-01-2024 22:13,Warehouse_Staff
8,Order_Processed,03-01-2024 22:27,Warehouse_Staff
8,Route_A,03-01-2024 22:48,Transport
8,Out_for_Delivery,04-01-2024 00:15,Delivery_Agent
8,Delivered,04-01-2024 00:25,Delivery_Agent
9,Order_Placed,13-01-2024 14:39,Customer
9,Order_Validated,13-01-2024 15:03,System
9,Payment_Processed,13-01-2024 15:18,Payment_Gateway
9,Inventory_Checked,13-01-2024 15:38,Warehouse_System
9,Warehouse_C,13-01-2024 16:46,Warehouse_Staff
9,Packed,13-01-2024 17:00,Warehouse_Staff
9,Order_Processed,13-01-2024 17:12,Warehouse_Staff
9,Route_C,13-01-2024 18:30,Transport
9,Out_for_Delivery,13-01-2024 18:37,Delivery_Agent
9,Delivered,13-01-2024 18:59,Delivery_Agent
